source.publication_year,source.book,N.entries,N.addresses,N.geoloc.addresses,N.distinct.addresses,N.geoloc.distinct.addresses,addresses.per.entries,geoloc.addresses,geoloc.distinct.addresses.per.distinct.addresses
1800,Duverneuil_et_La_Tynna,3334,6456,6345,3536,3476,1.936,0.983,0.983
1805,Duverneuil_et_La_Tynna,1801,3159,2970,1871,1818,1.754,0.94,0.972
1810,La_Tynna,3608,3751,3658,3065,3026,1.04,0.975,0.987
1815,La_Tynna,525,539,518,518,504,1.027,0.961,0.973
1822,Bottin1,29420,31802,30628,21832,21493,1.081,0.963,0.984
1825,Bottin1,40986,44386,42543,28977,28134,1.083,0.958,0.971
1829,Bottin1,46039,48812,46833,26272,25804,1.06,0.959,0.982
1835,Bottin1,45126,47311,46216,27614,27221,1.048,0.977,0.986
1841,Didot,58702,62072,61062,34134,33808,1.057,0.984,0.99
1845,Didot,56147,59976,58757,35101,34716,1.068,0.98,0.989
1850,Didot,62992,68652,66871,37460,37090,1.09,0.974,0.99
1855,Didot,74316,80049,78128,40226,39834,1.077,0.976,0.99
1860,DidotBottin,87919,93321,91660,51568,51180,1.061,0.982,0.992
1864,DidotBottin,94136,99852,98342,57986,57588,1.061,0.985,0.993
1870,DidotBottin,108044,122410,115918,66422,65502,1.133,0.947,0.986
1875,DidotBottin,107772,121033,116682,59946,59234,1.123,0.964,0.988
1880,DidotBottin,122823,139501,133820,68935,68057,1.136,0.959,0.987
1885,DidotBottin,133685,151634,146483,75753,74965,1.134,0.966,0.99
1890,DidotBottin,131003,149801,142720,108180,106778,1.143,0.953,0.987
1894,DidotBottin,136389,160626,152527,106656,105281,1.178,0.95,0.987
1900,DidotBottin,154572,199801,188815,104569,101981,1.293,0.945,0.975
1904,DidotBottin,151463,210602,187564,111399,107899,1.39,0.891,0.969
1909,DidotBottin,163809,241720,217468,126476,122182,1.476,0.9,0.966
1914,DidotBottin,160022,260147,239835,128134,125419,1.626,0.922,0.979
