"","geocoding.query.layer","geocoding.response.layer","geocoding.response.source","IntraExtra","n"
"1","address","address","atlas_jacoubet_1836",1,16384
"2","address","address","atlas_municipal_1888",0,133
"3","address","address","atlas_municipal_1888",1,1046
"4","address","street","atlas_andriveaugoujon_1849",1,326
"5","address","street","atlas_jacoubet_1836",1,541
"6","address","street","atlas_municipal_1888",0,36
"7","address","street","atlas_municipal_1888",1,54
"8","address","street","atlas_verniquet_1791",0,3
"9","address","street","atlas_verniquet_1791",1,26
"10","address","street","custom_catchall_alwaysvalid",1,23
